Model,training,sub-sample,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
CMax,wet,3.0,COBYLA,2,857.169645,4640.0,Alpha,9.49776384,Beta,4.78639956
CMax,wet,3.0,dual_annealing,1,856.575174,586235.0,Alpha,11.2851868,Beta,7.44377944
CMax,wet,3.0,ampgo,7,1022.02471,1020510.0,Alpha,16.9972866,Beta,2.31739608
LeastCost,wet,3.0,differential_evolution,3,507.434898,133980.0,kmaxLC,0.45342559,BoA,96.5586861
LeastCost,wet,3.0,basinhopping,4,507.817567,4419165.0,kmaxLC,0.45203806,BoA,96.3568338
LeastCost,wet,3.0,Nelder-Mead,5,508.595149,23635.0,kmaxLC,0.45233143,BoA,94.4952342
LeastCost,wet,3.0,Powell,1,506.443817,37410.0,kmaxLC,0.4504575,BoA,94.6596988
LeastCost,wet,3.0,COBYLA,7,617.110593,5945.0,kmaxLC,0.45774193,BoA,59.7740261
LeastCost,wet,3.0,dual_annealing,2,507.066485,1040810.0,kmaxLC,0.45227715,BoA,97.2635856
LeastCost,wet,3.0,ampgo,6,509.674076,2820540.0,kmaxLC,0.45701304,BoA,90.0389542
MES,wet,3.0,differential_evolution,1,503.644911,228375.0,krlM,0.91039281,PcritM,-4.35947371
MES,wet,3.0,basinhopping,4,524.311018,4797905.0,krlM,1.21176989,PcritM,-3.27381413
MES,wet,3.0,Nelder-Mead,3,523.263618,22620.0,krlM,1.26639405,PcritM,-3.22759147
MES,wet,3.0,Powell,2,512.845773,47270.0,krlM,1.25359411,PcritM,-3.26666759
MES,wet,3.0,COBYLA,7,530.134387,4495.0,krlM,1.23866736,PcritM,-3.23738085
MES,wet,3.0,dual_annealing,6,527.478103,801560.0,krlM,1.80433927,PcritM,-2.18791008
MES,wet,3.0,ampgo,5,524.954998,2710485.0,krlM,0.88877597,PcritM,-4.36545806
ProfitMax,wet,3.0,differential_evolution,1,538.861049,51765.0,kmax,0.9451642,,
ProfitMax,wet,3.0,basinhopping,3,540.995825,3418810.0,kmax,0.93043755,,
ProfitMax,wet,3.0,Nelder-Mead,5,545.191341,10295.0,kmax,0.8945264,,
ProfitMax,wet,3.0,Powell,4,542.667175,12760.0,kmax,0.93415849,,
ProfitMax,wet,3.0,COBYLA,6,549.921674,2900.0,kmax,0.93061272,,
ProfitMax,wet,3.0,dual_annealing,2,539.252702,409335.0,kmax,0.92239382,,
ProfitMax,wet,3.0,ampgo,7,555.209852,1850200.0,kmax,0.94158778,,
SOX-OPT,wet,3.0,differential_evolution,4,569.038327,65685.0,kmaxS2,0.57497296,ksc_prev,0.37938742
SOX-OPT,wet,3.0,basinhopping,6,571.144799,58580.0,kmaxS2,0.56769154,ksc_prev,0.38555624
SOX-OPT,wet,3.0,Nelder-Mead,1,568.451928,9425.0,kmaxS2,0.57491052,ksc_prev,0.39580206
SOX-OPT,wet,3.0,Powell,1,568.451928,16820.0,kmaxS2,0.57492719,ksc_prev,0.39474602
SOX-OPT,wet,3.0,COBYLA,5,570.488713,4930.0,kmaxS2,0.57530333,ksc_prev,0.34475244
SOX-OPT,wet,3.0,dual_annealing,3,568.559277,585365.0,kmaxS2,0.57484528,ksc_prev,0.39577583
SOX-OPT,wet,3.0,ampgo,7,833.860211,863475.0,kmaxS2,0.75572436,ksc_prev,0.40261058
SOX,wet,3.0,differential_evolution,3,473.298969,23345.0,kmaxS1,0.3169589,,
SOX,wet,3.0,basinhopping,3,473.298969,3300635.0,kmaxS1,0.34160816,,
SOX,wet,3.0,Nelder-Mead,3,473.298969,4640.0,kmaxS1,0.31695987,,
SOX,wet,3.0,Powell,3,473.298969,8700.0,kmaxS1,0.34160816,,
SOX,wet,3.0,COBYLA,7,473.30103,2610.0,kmaxS1,0.31680302,,
SOX,wet,3.0,dual_annealing,3,473.298969,295655.0,kmaxS1,0.32330345,,
SOX,wet,3.0,ampgo,3,473.298969,521420.0,kmaxS1,0.27321354,,
Tuzet,wet,3.0,differential_evolution,5,451.128118,104400.0,g1T,3.11309251,PrefT,-2.97636698
Tuzet,wet,3.0,basinhopping,2,450.819588,4006640.0,g1T,3.10774024,PrefT,-2.96554472
Tuzet,wet,3.0,Nelder-Mead,3,450.963734,20735.0,g1T,3.11768736,PrefT,-2.97169412
Tuzet,wet,3.0,Powell,1,450.460648,28565.0,g1T,3.10789168,PrefT,-2.97212471
Tuzet,wet,3.0,COBYLA,7,451.961059,13050.0,g1T,3.10734049,PrefT,-2.9880369
Tuzet,wet,3.0,dual_annealing,6,451.334091,746750.0,g1T,3.11309326,PrefT,-2.95632066
Tuzet,wet,3.0,ampgo,4,451.116871,3691410.0,g1T,3.11300457,PrefT,-2.87476691
WUE-LWP,wet,3.0,differential_evolution,5,873.71843,17690.0,Lambda,8.03850221,,
WUE-LWP,wet,3.0,basinhopping,6,874.48008,43935.0,Lambda,8.23761817,,
