Model,training,solver,Rank,BIC,Ntotal,p1,v1,p2,v2
SOX-OPT,Puechabon_Quercus_ilex,differential_evolution,3,223.11002,10656.0,kmaxS2,0.37284669,ksc_prev,0.27895841
SOX-OPT,Puechabon_Quercus_ilex,Powell,2,223.075632,5952.0,kmaxS2,0.38190264,ksc_prev,0.28311392
SOX-OPT,Puechabon_Quercus_ilex,dual_annealing,1,223.072435,130624.0,kmaxS2,0.37873602,ksc_prev,0.29398109
SOX,Puechabon_Quercus_ilex,differential_evolution,2,215.534125,4640.0,kmaxS1,0.06431767,,
SOX,Puechabon_Quercus_ilex,Powell,2,215.534125,1024.0,kmaxS1,0.07477588,,
SOX,Puechabon_Quercus_ilex,dual_annealing,2,215.534125,65312.0,kmaxS1,0.06388109,,
Tuzet,Puechabon_Quercus_ilex,differential_evolution,2,228.4726,30912.0,g1T,6.71602298,PrefT,-6.03164232
Tuzet,Puechabon_Quercus_ilex,Powell,3,228.490247,5536.0,g1T,8.21092889,PrefT,-5.90302985
Tuzet,Puechabon_Quercus_ilex,dual_annealing,1,228.059085,158080.0,g1T,7.03246061,PrefT,-5.96536845
WUE-LWP,Puechabon_Quercus_ilex,differential_evolution,3,257.266856,2944.0,Lambda,11.8833375,,
WUE-LWP,Puechabon_Quercus_ilex,Powell,1,256.673261,1472.0,Lambda,5.56775336,,
WUE-LWP,Puechabon_Quercus_ilex,dual_annealing,2,257.224641,64544.0,Lambda,12.0345166,,
CAP,Richmond_Eucalyptus_cladocalyx,differential_evolution,3,1058.32611,11070.0,krlC,72.8855862,PcritC,-7.42598095
CAP,Richmond_Eucalyptus_cladocalyx,Powell,2,1058.12279,18180.0,krlC,8.13501111,PcritC,-8.12647467
CAP,Richmond_Eucalyptus_cladocalyx,dual_annealing,1,1057.98868,481320.0,krlC,80.0,PcritC,-8.00872961
CGainNet,Richmond_Eucalyptus_cladocalyx,differential_evolution,2,770.003526,10980.0,beta,23.2246391,,
CGainNet,Richmond_Eucalyptus_cladocalyx,Powell,3,771.510793,4410.0,beta,23.7536415,,
CGainNet,Richmond_Eucalyptus_cladocalyx,dual_annealing,1,762.763569,181350.0,beta,25.2931101,,
CMax,Richmond_Eucalyptus_cladocalyx,differential_evolution,2,865.664637,27270.0,Alpha,10.8634492,Beta,0.3625368
CMax,Richmond_Eucalyptus_cladocalyx,Powell,3,866.816568,8280.0,Alpha,12.9675118,Beta,5.03340462
CMax,Richmond_Eucalyptus_cladocalyx,dual_annealing,1,865.229154,363330.0,Alpha,10.9393255,Beta,0.74212384
LeastCost,Richmond_Eucalyptus_cladocalyx,differential_evolution,2,793.553193,66150.0,kmaxLC,1.28325836,BoA,140.196316
LeastCost,Richmond_Eucalyptus_cladocalyx,Powell,3,793.828604,14040.0,kmaxLC,1.25506378,BoA,132.248597
LeastCost,Richmond_Eucalyptus_cladocalyx,dual_annealing,1,792.712841,485910.0,kmaxLC,1.29138437,BoA,134.06291
Medlyn-LWP,Richmond_Eucalyptus_cladocalyx,differential_evolution,2,799.539955,31590.0,sref,0.39130983,g1,4.78809754
Medlyn-LWP,Richmond_Eucalyptus_cladocalyx,Powell,2,799.539955,15750.0,sref,0.39128242,g1,4.78800626
Medlyn-LWP,Richmond_Eucalyptus_cladocalyx,dual_annealing,2,799.539955,364680.0,sref,0.39130939,g1,4.81118142
MES,Richmond_Eucalyptus_cladocalyx,differential_evolution,3,1056.69351,22680.0,krlM,17.1607307,PcritM,-8.12108252
